Agent,Level,Criterion,N,Mean,Median,Q1,Q3,SD,IQR,Label,CI_low,CI_high
AI,Operational,Adaptability,3,3.333333333333333,3.0,2.5,4.0,1.5275252316519468,1.5,Moderate,-0.4612497002164031,7.127916366883069
AI,Operational,Consistency of Feedback,76,3.631578947368421,3.5,3.0,4.0,0.7274082808282731,1.0,High,3.465359034742962,3.7977988599938795
AI,Operational,Ethical Soundness,76,3.263157894736842,3.0,3.0,4.0,0.8184281039917368,1.0,Moderate,3.0761390615434343,3.4501767279302498
AI,Operational,Goal Alignment,76,3.421052631578948,4.0,3.0,4.0,0.8833747093917637,1.0,Moderate,3.2191928633021227,3.622912399855773
AI,Operational,Implementation Feasibility,76,2.9407894736842106,3.0,3.0,3.0,0.3262627291326005,0.0,Moderate,2.866235246355903,3.0153437010125184
AI,Operational,Trust / Confidence,76,3.736842105263158,4.0,3.0,4.0,0.8061169650885094,1.0,High,3.552636487820448,3.9210477227058678
AI,Strategic,Adaptability,4,2.375,2.25,1.375,3.25,1.3768926368215255,1.875,Low,0.1840565575871147,4.565943442412886
AI,Strategic,Ethical Soundness,4,2.125,1.75,1.375,2.5,1.3149778198382918,1.125,Low,0.032576847862436864,4.217423152137563
AI,Strategic,Goal Alignment,4,2.25,2.5,1.75,3.0,0.957427107756338,1.25,Low,0.7265198191709221,3.773480180829078
AI,Strategic,Trust / Confidence,4,2.0,2.0,1.0,3.0,1.1547005383792517,2.0,Low,0.1626137689626006,3.8373862310373994
AI,Tactical,Adaptability,4,2.75,2.666666666666667,2.333333333333333,3.083333333333333,0.5,0.75,Moderate,1.9543884236789344,3.5456115763210656
AI,Tactical,Ethical Soundness,4,2.625,2.75,2.375,3.0,0.478713553878169,0.625,Moderate,1.863259909585461,3.386740090414539
AI,Tactical,Implementation Feasibility,4,3.25,3.0,2.375,3.875,1.3228756555322951,1.5,Moderate,1.1450096288503753,5.354990371149625
AI,Tactical,Trust / Confidence,4,2.833333333333333,2.833333333333333,2.25,3.416666666666667,0.793492047615872,1.166666666666667,Moderate,1.5707104157295448,4.095956250937121
