Agent,Criterion,Comparison,U_statistic,p_uncorrected,p_bonferroni,n_comparisons
AI,Goal Alignment,Strategic vs Operational,54.5,0.0221,0.0221,1
AI,Adaptability,Strategic vs Tactical,6.5,0.7702,1.0,3
AI,Adaptability,Strategic vs Operational,3.5,0.4755,1.0,3
AI,Adaptability,Tactical vs Operational,5.5,1.0,1.0,3
AI,Ethical Soundness,Strategic vs Tactical,4.5,0.3807,1.0,3
AI,Ethical Soundness,Strategic vs Operational,70.5,0.0676,0.2027,3
AI,Ethical Soundness,Tactical vs Operational,71.5,0.0701,0.2103,3
AI,Implementation Feasibility,Tactical vs Operational,158.0,0.8862,0.8862,1
AI,Trust / Confidence,Strategic vs Tactical,4.0,0.3065,0.9195,3
AI,Trust / Confidence,Strategic vs Operational,31.0,0.004,0.012,3
AI,Trust / Confidence,Tactical vs Operational,58.5,0.0269,0.0807,3
